name,team,nationality,gender,specialty
"Axel HUENS","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Menno HUISING","TEAM VISMA | LEASE A BIKE (TVL)","NED","M",""
"Jonas Hem HVIDEBERG","UNO-X MOBILITY (UXM)","NOR","M",""
"Storm INGEBRIGTSEN","UNO-X MOBILITY (UXM)","NOR","M",""
"Noa ISIDORE","DECATHLON CMA CGM TEAM (DCT)","FRA","M",""
"Johan JACOBS","GROUPAMA-FDJ UNITED (GFC)","SUI","M",""
"Fabio JAKOBSEN","TEAM PICNIC POSTNL (TPP)","NED","M",""
"Juul Christopher JENSEN","TEAM JAYCO ALULA (JAY)","DEN","M",""
"Tobias Halland JOHANNESSEN","UNO-X MOBILITY (UXM)","NOR","M",""
"Anders Halland JOHANNESSEN","UNO-X MOBILITY (UXM)","NOR","M",""
"Julius JOHANSEN","UAE TEAM EMIRATES XRG (UAD)","DEN","M",""
"Matteo JORGENSON","TEAM VISMA | LEASE A BIKE (TVL)","USA","M",""
"Bob JUNGELS","INEOS GRENADIERS (IGD)","LUX","M",""
"Florian Samuel KAJAMINI","XDS ASTANA TEAM (XAT)","ITA","M",""
"Lennard KÄMNA","LIDL-TREK (LTK)","GER","M",""
"Alexander KAMP","UNO-X MOBILITY (UXM)","DEN","M",""
"Max KANTER","XDS ASTANA TEAM (XAT)","GER","M",""
"Wilco KELDERMAN","TEAM VISMA | LEASE A BIKE (TVL)","NED","M",""
"Joshua KENCH","GROUPAMA-FDJ UNITED (GFC)","NZL","M",""
"Rainer KEPPLINGER","BAHRAIN VICTORIOUS (TBV)","AUT","M",""
"Timo KIELICH","TEAM VISMA | LEASE A BIKE (TVL)","BEL","M",""
"James KNOX","TEAM PICNIC POSTNL (TPP)","GBR","M",""
"Mathieu KOCKELMANN","LOTTO INTERMARCHÉ (LOI)","LUX","M",""
"Bjoern KOERDT","TEAM PICNIC POSTNL (TPP)","GBR","M",""
"Oded KOGUT","NSN CYCLING TEAM (NSN)","ISR","M",""
"Patrick KONRAD","LIDL-TREK (LTK)","AUT","M",""
"Olav KOOIJ","DECATHLON CMA CGM TEAM (DCT)","NED","M",""
"Søren KRAGH ANDERSEN","LIDL-TREK (LTK)","DEN","M",""
"Jelte KRIJNSEN","TEAM JAYCO ALULA (JAY)","NED","M",""
"Andreas KRON","UNO-X MOBILITY (UXM)","DEN","M",""
"Steven KRUIJSWIJK","TEAM VISMA | LEASE A BIKE (TVL)","NED","M",""
"Johannes KULSET","UNO-X MOBILITY (UXM)","NOR","M",""
"Sepp KUSS","TEAM VISMA | LEASE A BIKE (TVL)","USA","M",""
"Anton KUZMIN","XDS ASTANA TEAM (XAT)","KAZ","M",""
"Michal KWIATKOWSKI","INEOS GRENADIERS (IGD)","POL","M",""
"Jordan LABROSSE","DECATHLON CMA CGM TEAM (DCT)","FRA","M",""
"Vegard Stake LAENGEN","UAE TEAM EMIRATES XRG (UAD)","NOR","M",""
"Yves LAMPAERT","SOUDAL QUICK-STEP (SOQ)","BEL","M",""
"Luke LAMPERTI","EF EDUCATION - EASYPOST (EFE)","USA","M",""
"Mikel LANDA MEANA","SOUDAL QUICK-STEP (SOQ)","ESP","M",""
"Victor LANGELLOTTI","INEOS GRENADIERS (IGD)","MON","M",""
"Paul LAPEIRA","DECATHLON CMA CGM TEAM (DCT)","FRA","M",""
"Christophe LAPORTE","TEAM VISMA | LEASE A BIKE (TVL)","FRA","M",""
"Axel LAURANCE","INEOS GRENADIERS (IGD)","FRA","M",""
"Olivier LE GAC","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Junior LECERF","SOUDAL QUICK-STEP (SOQ)","BEL","M",""
"Gijs LEEMREIZE","TEAM PICNIC POSTNL (TPP)","NED","M",""
"Andreas LEKNESSUND","UNO-X MOBILITY (UXM)","NOR","M",""
"Bart LEMMEN","TEAM VISMA | LEASE A BIKE (TVL)","NED","M",""
"Michael Shea LEONARD","EF EDUCATION - EASYPOST (EFE)","CAN","M",""
"Blume William LEVY","UNO-X MOBILITY (UXM)","DEN","M",""
"Antoine L'HOTE","DECATHLON CMA CGM TEAM (DCT)","FRA","M",""
"Florian LIPOWITZ","RED BULL - BORA - HANSGROHE (RBH)","GER","M",""
"Arjen LIVYNS","XDS ASTANA TEAM (XAT)","BEL","M",""
"Sakarias Koller LØLAND","UNO-X MOBILITY (UXM)","NOR","M",""
"Harold Martin LOPEZ GRANIZO","XDS ASTANA TEAM (XAT)","ECU","M",""
"Juan Pedro LOPEZ PEREZ","MOVISTAR TEAM (MOV)","ESP","M",""
"Matis LOUVEL","NSN CYCLING TEAM (NSN)","FRA","M",""
"Lund Tobias LUND ANDRESEN","DECATHLON CMA CGM TEAM (DCT)","DEN","M",""
"Alexey LUTSENKO","NSN CYCLING TEAM (NSN)","KAZ","M",""
"Filip MACIEJUK","MOVISTAR TEAM (MOV)","POL","M",""
"Alastair MACKELLAR","EF EDUCATION - EASYPOST (EFE)","AUS","M",""
"Valentin MADOUAS","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
