"name","team","nationality","gender","specialty"
"Federica VENTURELLI","UAE TEAM ADQ (UAD)","ITA","F",""
"Gladys VERHULST WILD","AG INSURANCE - SOUDAL TEAM (AGS)","FRA","F",""
"Margaux VIGIE","TEAM VISMA | LEASE A BIKE (TVL)","FRA","F",""
"Alessia VIGILIA","UNO-X MOBILITY (UXM)","ITA","F",""
"Nienke VINKE","TEAM SD WORX - PROTIME (SDW)","NED","F",""
"Matilde VITILLO","LIV-ALULA-JAYCO (LIV)","ITA","F",""
"Demi VOLLERING","FDJ UNITED - SUEZ (TFS)","NED","F",""
"Alexandra VOLSTAD","EF EDUCATION - OATLY (EFO)","CAN","F",""
"Marianne VOS","TEAM VISMA | LEASE A BIKE (TVL)","NED","F",""
"Lorena WIEBES","TEAM SD WORX - PROTIME (SDW)","NED","F",""
"Jade WIEL","FDJ UNITED - SUEZ (TFS)","FRA","F",""
"Lily WILLIAMS","HUMAN POWERED HEALTH (HPH)","USA","F",""
"Felicity WILSON-HAFFENDEN","LIDL - TREK (LTK)","AUS","F",""
"Dominika WLODARCZYK","UAE TEAM ADQ (UAD)","POL","F",""
"Imogen WOLFF","TEAM VISMA | LEASE A BIKE (TVL)","GBR","F",""
"Ally Marée WOLLASTON","FDJ UNITED - SUEZ (TFS)","NZL","F",""
"Ella WYLLIE","LIV-ALULA-JAYCO (LIV)","NZL","F",""
"Anne Dorthe YSLAND","UNO-X MOBILITY (UXM)","NOR","F",""
"Silvia ZANARDI","HUMAN POWERED HEALTH (HPH)","ITA","F",""
"Linda ZANETTI","UNO-X MOBILITY (UXM)","SUI","F",""
"Urška ŽIGART","AG INSURANCE - SOUDAL TEAM (AGS)","SLO","F",""
